@RELATION institutions
@ATTRIBUTE token_0 INTEGER
@ATTRIBUTE token_1 INTEGER
@ATTRIBUTE class {yes,no}

@DATA
{0 5,1 15,2 no}
{0 11,1 29,2 no}
{0 5,1 20,2 yes}
{0 17,1 46,2 yes}
{0 16,1 32,2 yes}
{0 12,1 38,2 yes}
{0 18,1 45,2 yes}
{0 7,1 16,2 no}
{0 15,1 31,2 no}
{0 6,1 14,2 yes}
{0 14,1 24,2 yes}
{0 8,1 25,2 no}
{0 2,1 6,2 yes}
{0 14,1 26,2 no}
{0 7,1 21,2 yes}
{0 9,1 26,2 no}
{0 30,1 80,2 yes}
{0 40,1 79,2 yes}
{0 9,1 26,2 yes}
{0 16,1 29,2 no}
{0 5,1 27,2 yes}
{0 12,1 30,2 yes}
{0 5,1 6,2 no}
{0 2,1 13,2 no}
{0 3,1 10,2 yes}
{0 5,1 9,2 yes}
{0 1,1 3,2 yes}
{0 4,1 17,2 yes}
{0 5,1 5,2 yes}
{0 10,1 27,2 yes}
{0 8,1 20,2 yes}
{0 8,1 14,2 no}
{0 11,1 30,2 no}
{0 3,1 9,2 yes}
{0 5,1 19,2 yes}
{0 5,1 11,2 yes}
{0 11,1 19,2 no}
{0 23,1 47,2 yes}
{0 7,1 17,2 no}
{0 8,1 17,2 no}
{0 2,1 12,2 yes}
{0 9,1 26,2 yes}
{0 8,1 20,2 yes}
{0 2,1 4,2 yes}
{0 2,1 3,2 no}
{0 3,1 5,2 yes}
{0 32,1 67,2 no}
{0 38,1 66,2 yes}
{0 21,1 37,2 yes}
{0 43,1 106,2 no}
{0 11,1 15,2 yes}
{0 5,1 15,2 no}
{0 15,1 45,2 yes}
{0 2,1 5,2 yes}
{0 9,1 29,2 yes}
{0 6,1 27,2 yes}
{0 1,1 1,2 yes}
{0 5,1 10,2 no}
{0 16,1 40,2 yes}
{0 9,1 23,2 yes}
{0 16,1 28,2 no}
{0 20,1 47,2 yes}
{0 1,1 2,2 yes}
{0 7,1 19,2 yes}
{0 6,1 11,2 yes}
{0 13,1 28,2 yes}
{0 11,1 19,2 no}
{0 19,1 45,2 yes}
{0 16,1 40,2 no}
{0 4,1 24,2 yes}
{0 4,1 13,2 yes}
{0 16,1 33,2 yes}
{0 1,1 2,2 yes}
{0 1,1 1,2 yes}
{0 6,1 11,2 yes}
{0 3,1 5,2 no}
{0 24,1 69,2 yes}
{0 11,1 21,2 no}
{0 11,1 29,2 yes}
{0 2,1 5,2 no}
{0 5,1 18,2 yes}
{0 5,1 13,2 yes}
{0 18,1 41,2 yes}
{0 1,1 2,2 yes}
{0 1,1 15,2 yes}
{0 6,1 17,2 yes}
{0 8,1 19,2 yes}
{0 18,1 62,2 yes}
{0 9,1 29,2 no}
{0 6,1 12,2 yes}
{0 2,1 12,2 yes}
{0 13,1 30,2 yes}
{0 1,1 1,2 yes}
{0 5,1 13,2 yes}
{0 6,1 14,2 no}
{0 5,1 16,2 yes}
{0 16,1 31,2 yes}
{0 14,1 31,2 yes}
{1 2,2 yes}
{0 6,1 16,2 no}
{0 2,1 15,2 no}
{0 19,1 40,2 yes}
{0 11,1 20,2 yes}
{0 8,1 17,2 yes}
{0 9,1 14,2 no}
{0 26,1 51,2 no}
{0 4,1 6,2 no}
{0 13,1 36,2 no}
{0 11,1 21,2 yes}
{0 10,1 20,2 no}
{0 10,1 16,2 no}
{0 13,1 30,2 yes}
{0 37,1 92,2 no}
{0 23,1 58,2 yes}
{0 5,1 13,2 yes}
{0 8,1 21,2 yes}
{0 16,1 37,2 no}
{0 19,1 30,2 yes}
{0 3,1 12,2 yes}
{0 9,1 21,2 yes}
{0 1,1 1,2 no}
{0 1,1 5,2 no}
{0 15,1 39,2 yes}
{0 19,1 46,2 yes}
{0 7,1 15,2 yes}
{0 7,1 17,2 no}
{0 3,1 14,2 no}
{0 15,1 41,2 no}
{0 3,1 1,2 no}
{0 5,1 25,2 yes}
{0 17,1 34,2 yes}
{0 5,1 11,2 yes}
{0 1,1 7,2 no}
{0 4,1 12,2 yes}
{0 5,1 8,2 no}
{0 1,1 7,2 yes}
{0 24,1 42,2 yes}
{0 5,1 12,2 no}
{0 9,1 23,2 yes}
{0 11,1 32,2 yes}
{0 1,1 3,2 yes}
{1 2,2 yes}
{0 6,1 20,2 yes}
{0 9,1 23,2 yes}
{1 1,2 yes}
{0 8,1 12,2 yes}
{0 3,1 4,2 no}
{0 9,1 27,2 no}
{0 8,1 15,2 yes}
{0 26,1 85,2 yes}
{0 1,1 3,2 yes}
{0 7,1 11,2 yes}
{0 12,1 34,2 yes}
{0 8,1 20,2 yes}
{0 2,1 17,2 yes}
{0 2,1 3,2 no}
{0 1,1 5,2 yes}
{0 7,1 11,2 yes}
{0 15,1 36,2 yes}
{0 27,1 80,2 yes}
{0 16,1 37,2 no}
{0 7,1 14,2 no}
{0 16,1 27,2 no}
{0 23,1 49,2 yes}
{0 5,1 19,2 yes}
{0 3,1 4,2 no}
{0 12,1 33,2 yes}
{0 21,1 46,2 yes}
{0 11,1 15,2 yes}
{0 8,1 35,2 yes}
{0 14,1 27,2 no}
{0 45,1 86,2 no}
{0 23,1 48,2 yes}
{0 9,1 16,2 yes}
{0 1,1 2,2 yes}
{0 2,1 4,2 yes}
{0 11,1 29,2 no}
{0 33,1 80,2 yes}
{0 9,1 43,2 yes}
{0 32,1 77,2 no}
{0 12,1 40,2 yes}
{0 4,1 8,2 no}
{0 9,1 34,2 yes}
{0 7,1 21,2 yes}
{0 34,1 86,2 yes}
{0 9,1 15,2 no}
{0 4,1 14,2 yes}
{0 5,1 14,2 yes}
{0 23,1 54,2 yes}
{0 3,1 16,2 no}
{0 4,1 10,2 no}
{0 6,1 25,2 yes}
{0 17,1 48,2 yes}
{1 2,2 yes}
{0 15,1 52,2 yes}
{0 5,1 18,2 yes}
{0 15,1 16,2 yes}
{0 17,1 46,2 yes}
{0 2,1 8,2 yes}
{0 25,1 58,2 no}
{0 5,1 7,2 yes}
{0 13,1 37,2 yes}
{0 7,1 16,2 yes}
{0 5,1 13,2 no}
{0 5,1 6,2 yes}
{0 6,1 13,2 yes}
{0 17,1 45,2 no}
{0 4,1 7,2 yes}
{0 1,1 2,2 yes}
{0 17,1 27,2 yes}
{0 18,1 39,2 yes}
{0 5,1 13,2 yes}
{0 4,1 9,2 yes}
{0 18,1 30,2 no}
{0 3,1 11,2 yes}
{0 3,1 4,2 yes}
{0 10,1 29,2 no}
{0 10,1 27,2 yes}
{0 25,1 52,2 yes}
{1 1,2 yes}
{1 1,2 yes}
{0 2,1 2,2 yes}
{0 1,1 5,2 no}
{0 5,1 18,2 yes}
{0 11,1 29,2 yes}
{0 12,1 42,2 no}
{0 1,1 2,2 yes}
{0 21,1 40,2 yes}
{0 4,1 7,2 no}
{0 5,1 16,2 yes}
{0 4,1 8,2 no}
{0 15,1 27,2 yes}
{0 5,1 9,2 no}
{0 7,1 29,2 yes}
{1 1,2 yes}
{0 3,1 2,2 no}
{0 3,1 5,2 no}
{0 3,1 6,2 yes}
{0 6,1 10,2 yes}
{0 15,1 27,2 yes}
{0 4,1 5,2 yes}
{0 3,1 9,2 yes}
{0 2,1 8,2 yes}
{0 23,1 38,2 no}
{0 6,1 14,2 no}
{0 11,1 18,2 yes}
{0 4,1 11,2 no}
{0 3,1 5,2 no}
{0 5,1 8,2 no}
{0 12,1 28,2 yes}
{0 4,1 16,2 no}
{0 7,1 16,2 yes}
{0 8,1 26,2 yes}
{0 11,1 34,2 yes}
{0 23,1 41,2 no}
{0 1,1 2,2 yes}
{0 17,1 36,2 yes}
{0 5,1 14,2 yes}
{0 5,1 10,2 yes}
{0 9,1 23,2 yes}
{0 18,1 55,2 no}
{0 12,1 38,2 yes}
{0 23,1 52,2 yes}
{0 10,1 34,2 no}
{0 8,1 20,2 yes}
{0 15,1 46,2 yes}
{0 28,1 56,2 no}
{0 8,1 18,2 yes}
{0 11,1 37,2 no}
{0 22,1 46,2 yes}
{0 3,1 3,2 no}
{0 1,1 3,2 no}
{0 17,1 44,2 no}
{0 25,1 60,2 yes}
{0 18,1 31,2 yes}
{0 20,1 47,2 yes}
{0 6,1 13,2 no}
{0 16,1 40,2 no}
{0 10,1 20,2 yes}
{0 46,1 112,2 yes}
{0 10,1 19,2 yes}
{0 3,1 4,2 yes}
{0 1,2 yes}
{0 13,1 29,2 no}
{1 2,2 yes}
{0 1,1 2,2 yes}
{1 1,2 yes}
{0 8,1 24,2 no}
{0 1,1 5,2 yes}
{0 19,1 44,2 yes}
{0 10,1 30,2 yes}
{0 4,1 8,2 yes}
{0 1,1 4,2 yes}
{1 1,2 yes}
{0 25,1 61,2 yes}
{0 1,1 2,2 no}
{0 7,1 13,2 yes}
{0 1,1 4,2 no}
{0 13,1 27,2 yes}
{0 25,1 73,2 yes}
{0 1,1 1,2 no}
{0 31,1 92,2 yes}
{0 21,1 37,2 yes}
{0 6,1 14,2 no}
{0 3,1 4,2 no}
{0 14,1 33,2 yes}
{0 18,1 43,2 yes}
{1 1,2 yes}
{0 3,1 8,2 no}
{0 4,1 8,2 yes}
{0 9,1 38,2 no}
{1 1,2 yes}
{0 27,1 53,2 no}
{0 14,1 26,2 yes}
{0 5,1 6,2 no}
{0 21,1 34,2 yes}
{0 29,1 66,2 no}
{0 24,1 44,2 yes}
{0 4,1 9,2 yes}
{0 1,1 1,2 no}
{0 41,1 97,2 yes}
{0 23,1 60,2 yes}
{0 18,1 46,2 yes}
{0 7,1 14,2 no}
{0 15,1 39,2 yes}
{0 8,1 24,2 yes}
{0 7,1 13,2 yes}
{0 9,1 28,2 yes}
{0 4,1 11,2 yes}
{0 7,1 11,2 yes}
{0 23,1 57,2 yes}
{0 13,1 37,2 yes}
{0 9,1 30,2 no}
{0 1,1 2,2 yes}
{0 8,1 17,2 no}
{0 55,1 131,2 no}
{0 11,1 31,2 yes}
{0 7,1 14,2 yes}
{0 5,1 18,2 no}
{0 16,1 37,2 yes}
{0 17,1 41,2 yes}
{0 1,1 1,2 yes}
{0 5,1 15,2 yes}
{0 15,1 32,2 yes}
{0 32,1 70,2 yes}
{0 4,1 13,2 no}
{0 3,1 4,2 yes}
{0 28,1 76,2 no}
{0 1,1 2,2 yes}
{0 4,1 3,2 yes}
{0 7,1 23,2 no}
{0 7,1 16,2 yes}
{0 12,1 36,2 no}
{0 16,1 33,2 yes}
{0 15,1 36,2 no}
{0 34,1 87,2 yes}
{0 5,1 15,2 yes}
{0 7,1 11,2 no}
{0 4,1 7,2 no}
{0 8,1 22,2 yes}
{0 7,1 24,2 no}
{0 10,1 28,2 yes}
{0 28,1 83,2 yes}
{0 72,1 144,2 yes}
{1 1,2 yes}
{0 2,1 6,2 yes}
{0 2,1 3,2 no}
{0 6,1 13,2 yes}
{0 4,1 8,2 yes}
{0 20,1 39,2 yes}
{0 8,1 31,2 no}
{0 2,1 3,2 yes}
{0 10,1 22,2 yes}
{0 11,1 33,2 yes}
{0 8,1 23,2 yes}
{0 30,1 61,2 yes}
{0 20,1 45,2 yes}
{0 7,1 9,2 no}
{0 1,1 1,2 yes}
{0 13,1 31,2 yes}
{0 9,1 25,2 yes}
{0 3,1 5,2 yes}
{0 7,1 23,2 no}
{0 56,1 127,2 yes}
{0 1,1 11,2 yes}
{0 20,1 47,2 no}
{0 9,1 22,2 no}
{0 1,1 1,2 yes}
{0 38,1 114,2 yes}
{0 1,1 2,2 yes}
{0 4,1 8,2 no}
{0 7,1 28,2 yes}
{0 18,1 45,2 no}
{0 10,1 30,2 no}
{0 11,1 29,2 yes}
{0 4,1 7,2 no}
{0 16,1 39,2 yes}
{0 5,1 13,2 yes}
{0 16,1 45,2 yes}
{0 2,1 6,2 no}
{0 17,1 45,2 yes}
{0 19,1 45,2 yes}
{0 3,1 6,2 yes}
{0 17,1 39,2 yes}
{0 5,1 16,2 no}
{0 1,1 3,2 yes}
{0 7,1 22,2 no}
{0 2,1 2,2 no}
{0 11,1 24,2 yes}
{1 1,2 yes}
{0 28,1 66,2 yes}
{0 7,1 16,2 yes}
{0 1,1 3,2 yes}
{0 3,1 3,2 yes}
{0 26,1 64,2 yes}
{0 4,1 11,2 no}
{0 3,1 4,2 yes}
{0 1,1 2,2 no}
{0 5,1 17,2 yes}
{0 21,1 42,2 yes}
{0 8,1 15,2 yes}
{0 4,1 16,2 no}
{0 10,1 20,2 yes}
{0 5,1 14,2 no}
{0 8,1 14,2 yes}
{0 4,1 6,2 yes}
{0 28,1 64,2 yes}
{0 8,1 22,2 no}
{0 2,1 6,2 no}
{0 4,1 15,2 yes}
{0 9,1 19,2 yes}
{0 14,1 31,2 yes}
{0 6,1 11,2 no}
{0 5,1 7,2 yes}
{0 8,1 11,2 yes}
{0 4,1 17,2 yes}
{0 7,1 22,2 yes}
{0 18,1 66,2 no}
{0 22,1 40,2 no}
{0 23,1 51,2 yes}
{0 2,1 4,2 no}
{0 2,1 4,2 yes}
{0 3,1 13,2 yes}
{0 6,1 11,2 no}
{0 5,1 17,2 yes}
{0 13,1 24,2 yes}
{0 7,1 22,2 yes}
{0 3,1 7,2 yes}
{0 2,1 7,2 no}
{0 4,1 10,2 yes}
{0 9,1 13,2 yes}
{0 19,1 29,2 no}
{0 10,1 33,2 no}
{0 36,1 90,2 no}
{0 12,1 46,2 no}
{0 5,1 10,2 yes}
{0 9,1 20,2 no}
{0 9,1 23,2 yes}
{0 6,1 18,2 yes}
{0 1,1 1,2 yes}
{0 14,1 35,2 no}
{0 2,1 14,2 yes}
{0 24,1 47,2 yes}
{0 55,1 129,2 no}
{0 16,1 34,2 yes}
{0 8,1 17,2 no}
{0 9,1 12,2 yes}
{0 11,1 21,2 no}
{0 8,1 13,2 yes}
{0 9,1 30,2 yes}
{0 26,1 56,2 no}
{0 5,1 16,2 no}
{0 1,1 2,2 yes}
{0 2,1 3,2 no}
{0 30,1 77,2 yes}
{0 2,1 4,2 no}
{0 5,1 17,2 yes}
{0 26,1 75,2 no}
{0 4,1 8,2 no}
{0 6,1 22,2 yes}
{0 4,1 13,2 yes}
{0 11,1 42,2 yes}
{0 35,1 92,2 no}
{0 14,1 45,2 yes}
{0 12,1 52,2 no}
{0 18,1 31,2 no}
{0 34,1 66,2 yes}
{0 5,1 9,2 yes}
{0 18,1 44,2 yes}
{0 3,1 6,2 yes}
{0 1,1 2,2 yes}
{0 9,1 16,2 yes}
{0 20,1 50,2 no}
{0 60,1 141,2 no}
{0 12,1 21,2 yes}
{0 12,1 34,2 yes}
{0 5,1 16,2 yes}
{0 1,1 3,2 yes}
{0 7,1 16,2 yes}
{0 15,1 32,2 yes}
{0 5,1 15,2 yes}
{0 7,1 17,2 no}
{0 8,1 10,2 no}
{0 11,1 18,2 yes}
{0 7,1 20,2 no}
{0 1,1 2,2 no}
{0 8,1 11,2 yes}
{0 9,1 16,2 yes}
{0 8,1 28,2 yes}
{0 9,1 14,2 yes}
{0 47,1 114,2 no}
{0 7,1 18,2 yes}
{0 7,1 11,2 yes}
{0 4,1 9,2 yes}
{0 9,1 14,2 yes}
{0 2,1 7,2 no}
{0 7,1 17,2 yes}
{0 10,1 18,2 yes}
{0 11,1 35,2 yes}
{0 2,1 5,2 yes}
{0 12,1 28,2 yes}
{0 2,1 6,2 no}
{0 11,1 35,2 yes}
{0 10,1 34,2 yes}
{0 15,1 33,2 no}
{0 1,1 2,2 yes}
{0 3,1 6,2 no}
{0 7,1 22,2 yes}
{0 2,1 4,2 yes}
{0 7,1 24,2 yes}
{0 27,1 62,2 no}
{0 9,1 23,2 yes}
{0 1,1 1,2 no}
{0 5,1 14,2 no}
{0 8,1 17,2 no}
{0 36,1 73,2 yes}
{0 14,1 28,2 no}
{0 1,1 7,2 yes}
{0 6,1 18,2 yes}
{0 2,1 7,2 no}
{0 7,1 15,2 no}
{0 8,1 18,2 yes}
{0 6,1 18,2 no}
{0 7,1 13,2 yes}
{1 1,2 yes}
{0 7,1 16,2 yes}
{0 13,1 35,2 yes}
{0 9,1 17,2 yes}
{0 8,1 13,2 yes}
{0 15,1 37,2 no}
{0 19,1 35,2 yes}
{0 2,1 2,2 yes}
{0 18,1 39,2 no}
{0 13,1 31,2 yes}
{1 2,2 no}
{0 1,1 5,2 yes}
{0 18,1 40,2 yes}
{0 3,1 8,2 yes}
{0 6,1 13,2 yes}
{0 12,1 22,2 yes}
{0 7,1 18,2 no}
{0 9,1 22,2 yes}
{0 16,1 35,2 yes}
{0 12,1 30,2 yes}
{0 8,1 16,2 no}
{0 9,1 25,2 yes}
{0 18,1 29,2 yes}
{0 50,1 110,2 yes}
{0 8,1 20,2 no}
{0 11,1 22,2 yes}
{0 2,1 15,2 yes}
{0 6,1 10,2 yes}
{0 4,1 11,2 no}
{0 3,1 4,2 no}
{0 1,1 4,2 yes}
{0 7,1 12,2 no}
{1 1,2 no}
{0 7,1 11,2 yes}
{0 8,1 16,2 no}
{0 13,1 36,2 no}
{0 6,1 12,2 yes}
{0 8,1 14,2 no}
{0 22,1 50,2 yes}
{0 9,1 14,2 yes}
{0 4,1 11,2 yes}
{0 5,1 11,2 yes}
{0 1,1 2,2 no}
{0 5,1 9,2 no}
{0 1,1 2,2 yes}
{0 11,1 20,2 no}
{0 9,1 19,2 yes}
{0 7,1 18,2 yes}
{0 9,1 18,2 no}
{0 4,1 8,2 yes}
{0 1,1 2,2 yes}
{0 2,1 8,2 yes}
{0 26,1 71,2 yes}
{0 9,1 24,2 no}
{0 3,1 11,2 yes}
{0 7,1 12,2 yes}
{0 26,1 49,2 yes}
{0 12,1 25,2 yes}
{0 3,1 2,2 no}
{0 2,1 3,2 yes}
{0 8,1 34,2 yes}
{0 10,1 28,2 yes}
{0 5,1 16,2 yes}
{0 1,1 2,2 yes}
{0 12,1 34,2 yes}
{0 11,1 26,2 yes}
{0 13,1 42,2 yes}
{0 7,1 12,2 no}
{0 26,1 61,2 no}
{0 1,1 2,2 yes}
{0 14,1 20,2 yes}
{0 9,1 15,2 no}
{0 3,1 4,2 yes}
{0 5,1 11,2 yes}
{0 9,1 26,2 no}
{0 1,1 4,2 yes}
{0 14,1 37,2 no}
{0 13,1 34,2 yes}
{0 17,1 40,2 no}
{0 14,1 24,2 yes}
{0 1,1 1,2 no}
{0 2,1 10,2 no}
{0 4,1 10,2 yes}
{0 31,1 75,2 yes}
{1 1,2 no}
{0 5,1 12,2 yes}
{0 24,1 62,2 yes}
{0 3,1 6,2 yes}
{0 3,1 14,2 yes}
{0 22,1 39,2 yes}
{0 2,1 1,2 yes}
{0 9,1 23,2 yes}
{0 34,1 113,2 no}
{0 10,1 25,2 yes}
{0 6,1 12,2 yes}
{0 1,1 2,2 yes}
{0 5,1 12,2 no}
{0 30,1 64,2 yes}
{0 21,1 42,2 yes}
{0 10,1 17,2 yes}
{0 9,1 10,2 no}
{0 10,1 22,2 no}
{0 6,1 13,2 yes}
{0 5,1 16,2 yes}
{0 4,1 9,2 no}
{0 13,1 31,2 no}
{0 8,1 15,2 yes}
{0 18,1 46,2 no}
{0 6,1 14,2 no}
{0 5,1 11,2 yes}
{0 32,1 73,2 yes}
{0 9,1 19,2 yes}
{0 8,1 23,2 no}
{0 24,1 56,2 yes}
{0 9,1 20,2 no}
{0 18,1 39,2 yes}
{0 8,1 22,2 yes}
{0 5,1 16,2 no}
{0 5,1 14,2 no}
{0 23,1 44,2 no}
{0 9,1 19,2 yes}
{0 11,1 24,2 yes}
{0 2,1 9,2 yes}
{0 8,1 23,2 yes}
{0 16,1 36,2 yes}
{0 3,1 6,2 no}
{0 9,1 28,2 no}
{0 3,1 5,2 yes}
{0 5,1 13,2 yes}
{0 9,1 16,2 yes}
{0 29,1 59,2 yes}
{0 5,1 15,2 yes}
{0 8,1 12,2 no}
{0 3,1 9,2 yes}
{0 6,1 16,2 no}
{0 15,1 26,2 yes}
{0 7,1 24,2 no}
{0 2,1 5,2 yes}
{0 9,1 26,2 no}
{0 1,1 2,2 no}
{0 14,1 34,2 yes}
{0 6,1 18,2 yes}
{0 3,1 13,2 yes}
{0 3,1 11,2 yes}
{0 22,1 58,2 yes}
{0 4,1 7,2 yes}
{0 1,1 2,2 no}
{0 6,1 16,2 yes}
{0 4,1 9,2 no}
{0 7,1 28,2 yes}
{0 14,1 30,2 yes}
{0 23,1 44,2 no}
{0 7,1 13,2 no}
{0 1,1 2,2 yes}
{0 5,1 14,2 yes}
{0 6,1 11,2 yes}
{0 9,1 28,2 yes}
{0 10,1 21,2 yes}
{0 6,1 12,2 no}
{0 24,1 49,2 yes}
{0 1,1 2,2 yes}
{0 1,1 1,2 yes}
{0 5,1 10,2 no}
{0 5,1 17,2 yes}
{0 13,1 31,2 yes}
{0 13,1 33,2 yes}
{0 3,1 3,2 no}
{0 36,1 79,2 no}
{0 8,1 19,2 yes}
{0 4,1 18,2 yes}
{0 27,1 49,2 yes}
{0 10,1 23,2 yes}
{0 6,1 20,2 yes}
{0 2,1 2,2 yes}
{0 10,1 29,2 no}
{0 28,1 59,2 yes}
{0 13,1 29,2 yes}
{0 6,1 16,2 yes}
{0 2,1 7,2 yes}
{0 48,1 106,2 yes}
{0 6,1 18,2 no}
{0 9,1 36,2 yes}
{0 8,1 24,2 yes}
{0 3,1 6,2 yes}
{0 12,1 27,2 yes}
{0 18,1 43,2 yes}
{0 5,1 4,2 no}
{0 11,1 19,2 yes}
{0 9,1 22,2 yes}
{0 32,1 90,2 yes}
{0 4,1 8,2 no}
{0 18,1 42,2 yes}
{0 22,1 47,2 yes}
{0 5,1 12,2 yes}
{0 17,1 25,2 yes}
{0 3,1 14,2 yes}
{0 4,1 14,2 yes}
{0 21,1 52,2 yes}
{0 21,1 53,2 yes}
{0 13,1 32,2 yes}
{0 10,1 21,2 yes}
{0 3,1 8,2 yes}
{0 6,1 23,2 yes}
{0 5,1 11,2 no}
{0 6,1 20,2 yes}
{0 4,1 13,2 yes}
{0 5,1 11,2 yes}
{0 3,1 10,2 no}
{0 4,1 9,2 yes}
{0 5,1 8,2 yes}
{0 19,1 35,2 yes}
{0 24,1 58,2 yes}
{0 16,1 38,2 yes}
{0 12,1 29,2 yes}
{0 9,1 18,2 no}
{0 5,1 9,2 yes}
{0 14,1 38,2 yes}
{0 16,1 38,2 no}
{0 58,1 131,2 yes}
{0 37,1 78,2 no}
{0 3,1 10,2 no}
{0 3,1 6,2 yes}
{1 1,2 yes}
{0 2,1 8,2 yes}
{0 1,1 7,2 no}
{0 6,1 13,2 yes}
{0 2,1 2,2 no}
{0 1,1 4,2 yes}
{0 3,1 12,2 yes}
{0 4,1 7,2 yes}
{0 7,1 28,2 yes}
{0 7,1 20,2 yes}
{0 9,1 21,2 yes}
{0 7,1 18,2 yes}
{0 8,1 16,2 yes}
{0 1,1 1,2 yes}
{0 2,1 4,2 yes}
{0 4,1 11,2 yes}
{0 6,1 22,2 yes}
{0 4,1 10,2 yes}
{1 1,2 no}
{0 4,1 11,2 yes}
{0 8,1 19,2 yes}
{0 22,1 71,2 no}
{1 2,2 yes}
{0 62,1 123,2 yes}
{0 7,1 15,2 yes}
{0 8,1 36,2 yes}
{1 2,2 yes}
{0 8,1 18,2 no}
{0 11,1 20,2 no}
{0 4,1 16,2 yes}
{0 17,1 40,2 yes}
{0 5,1 12,2 no}
{0 10,1 17,2 yes}
{0 13,1 22,2 yes}
{0 4,1 9,2 yes}
{0 18,1 40,2 yes}
{0 2,1 11,2 no}
{0 11,1 29,2 no}
{0 5,1 8,2 no}
{0 38,1 96,2 yes}
{0 4,1 11,2 no}
{1 1,2 yes}
{0 11,1 25,2 yes}
{0 11,1 21,2 no}
{0 17,1 62,2 yes}
{0 3,1 10,2 yes}
{0 7,1 16,2 yes}
{0 6,1 20,2 no}
{0 12,1 27,2 no}
{0 12,1 24,2 yes}
{0 8,1 10,2 yes}
{0 50,1 100,2 yes}
{0 13,1 27,2 no}
{0 8,1 25,2 yes}
{0 1,1 2,2 no}
{0 4,1 15,2 yes}
{0 3,1 10,2 no}
{0 9,1 22,2 no}
{0 40,1 95,2 yes}
{0 10,1 19,2 no}
{0 22,1 51,2 no}
{0 3,1 7,2 yes}
{0 8,1 25,2 yes}
{0 11,1 28,2 no}
{0 28,1 55,2 yes}
{0 9,1 30,2 yes}
{0 27,1 59,2 yes}
{0 19,1 23,2 no}
{0 3,1 13,2 yes}
{0 13,1 27,2 yes}
{0 4,1 14,2 yes}
{0 28,1 51,2 yes}
{0 29,1 74,2 no}
{0 45,1 89,2 yes}
{0 1,1 3,2 yes}
{0 1,1 2,2 yes}
{0 15,1 39,2 yes}
{1 1,2 no}
{0 4,1 17,2 no}
{0 3,1 5,2 no}
{0 4,1 4,2 yes}
{0 38,1 102,2 yes}
{0 5,1 11,2 no}
{0 1,1 4,2 no}
{0 18,1 46,2 yes}
{0 17,1 46,2 yes}
{0 58,1 135,2 no}
{0 2,1 8,2 yes}
{0 9,1 19,2 no}
{0 5,1 9,2 yes}
{0 6,1 13,2 yes}
{0 11,1 28,2 no}
{0 6,1 11,2 no}
{0 6,1 20,2 yes}
{0 15,1 33,2 yes}
{0 3,1 5,2 no}
{0 15,1 40,2 yes}
{0 2,1 6,2 yes}
{0 15,1 68,2 yes}
{0 4,1 15,2 no}
{0 10,1 27,2 yes}
{0 4,1 12,2 yes}
{0 6,1 16,2 no}
{0 22,1 63,2 yes}
{0 24,1 43,2 yes}
{0 12,1 26,2 yes}
{0 72,1 191,2 no}
{0 19,1 42,2 no}
{0 20,1 44,2 yes}
{0 11,1 25,2 yes}
{0 2,1 4,2 yes}
{0 53,1 109,2 no}
{0 3,1 9,2 yes}
{0 9,1 32,2 yes}
{0 9,1 13,2 yes}
{0 38,1 79,2 yes}
{0 5,1 18,2 yes}
{0 37,1 77,2 yes}
{0 20,1 31,2 yes}
{0 15,1 34,2 yes}
{0 16,1 26,2 yes}
{0 3,1 14,2 yes}
{0 10,1 25,2 yes}
{0 3,1 14,2 yes}
{0 19,1 39,2 no}
{0 19,1 37,2 no}
{0 4,1 10,2 no}
{0 2,1 2,2 no}
{0 5,1 18,2 yes}
{0 5,1 13,2 yes}
{0 15,1 28,2 no}
{0 3,1 11,2 no}
{0 9,1 28,2 no}
{0 2,1 4,2 no}
{0 1,1 2,2 yes}
{0 38,1 100,2 no}
{0 19,1 41,2 no}
{0 4,1 9,2 yes}
{0 44,1 104,2 no}
{0 9,1 14,2 yes}
{0 1,1 3,2 no}
{0 2,1 4,2 yes}
{0 4,1 8,2 yes}
{0 5,1 7,2 yes}
{0 3,1 5,2 no}
{0 7,1 16,2 yes}
{1 1,2 yes}
{0 1,1 1,2 yes}
{0 4,1 10,2 yes}
{0 2,1 13,2 yes}
{0 11,1 23,2 yes}
{0 7,1 22,2 no}
{0 5,1 9,2 no}
{0 10,1 32,2 yes}
{0 9,1 15,2 no}
{0 2,1 3,2 yes}
{0 2,1 3,2 yes}
{0 8,1 20,2 yes}
{0 13,1 26,2 yes}
{0 3,1 21,2 yes}
{0 8,1 17,2 yes}
{0 34,1 73,2 yes}
{0 20,1 37,2 no}
{0 6,1 20,2 yes}
{0 17,1 35,2 yes}
{0 2,1 4,2 yes}
{0 2,1 3,2 no}
{0 3,1 7,2 yes}
{0 27,1 66,2 yes}
{0 4,1 6,2 yes}
{0 10,1 19,2 no}
{0 7,1 16,2 yes}
{0 7,1 18,2 no}
{0 14,1 29,2 yes}
{0 29,1 65,2 no}
{0 5,1 13,2 yes}
{0 12,1 29,2 yes}
{0 37,1 88,2 yes}
{0 1,1 3,2 no}
{0 12,1 30,2 yes}
{0 7,1 27,2 yes}
{0 7,1 14,2 no}
{1 1,2 no}
{0 26,1 60,2 yes}
{0 5,1 13,2 yes}
{0 1,1 1,2 yes}
{0 9,1 24,2 yes}
{0 23,1 38,2 yes}
{0 8,1 12,2 yes}
{0 14,1 48,2 yes}
